Subject,Code,Type,Semester,RequirementOf,Goal,About
Introdução à Ciência de Computação II,SCC0201,Disciplinas Obrigatórias,2º Semestre Ideal,SCC0215; SCC0215; SCC0205; SCC0230; SCC0210; SCC0210; SCC0251; SCC0251; SCC0261; SSC0723; SSC0951; SSC0951; SCC0273; SSC0724,"Apresentação de conceitos avançados que levem o aluno a uma maturidade em programação estruturada, com conhecimento de uma linguagem de programação com recursos avançados. Aprendizado de técnicas para construção de algoritmos e para análise da complexidade de algoritmos. Aprendizado de algoritmos clássicos de ordenação e busca em memória interna. Prática de Programação.","Análise de algoritmos: conceitos básicos, critérios de complexidade de tempo e espaço, notação assintótica, análise de pior caso, melhor caso e caso médio, técnicas de contagem de operações e análise de recorrências, prática e discussão com problemas computacionais relevantes. Algoritmos de ordenação interna simples e avançados: conceitos básicos, métodos de ordenação bubblesort, quicksort, inserção, shellsort, seleção, heapsort, mergesort, contagem de menores, contagem de tipos e radixsort, análise dos algoritmos de ordenação, prática e discussão com problemas computacionais relevantes. Algoritmos de busca interna: conceitos básicos, métodos de busca binária e por interpolação, análise dos algoritmos de busca anteriores e considerações sobre busca em árvores, prática e discussão com problemas computacionais relevantes. Hashing interno: conceitos básicos, tipos de hashing, funções hash, tratamento de colisões, análise dos algoritmos de busca, inserção e remoção com base em hashing.

Atividades de extensão: Divulgação de conteúdo sobre algoritmos e sua computabilidade. Por exemplo é quase senso comum que um computador pode resolver tudo imediatamente, o que não é verdade. Algoritmos usados na prática podem ser abordados para o público geral e interessados (ordenação, busca, hashing) e sua complexidade. A carga horária corresponde a 5 horas."
Algoritmos e Estruturas de Dados I,SCC0202,Disciplinas Obrigatórias,2º Semestre Ideal,SCC0216; SSC0103; SSC0960; SCC0282; SCC0284,"Familiarizar os estudantes com as várias estruturas da informação, buscando habilitá-los a contar com esses recursos no desenvolvimento de outras atividades de ciências de computação.","Tipos abstratos de dados. Listas lineares: seqüenciais, simplesmente e duplamente encadeadas, estáticas e dinâmicas, circulares, com nó-cabeça. Operações básicas sobre listas lineares e análise dos algoritmos. Pilhas, filas, filas de prioridade, operações básicas sobre pilhas e filas e análise dos algoritmos. Aplicações de listas lineares, pilhas e filas em problemas computacionais relevantes. Matrizes esparsas. Listas generalizadas e aplicações. Listas não lineares: árvores, árvores binárias, operações básicas sobre árvores e análise dos algoritmos. Árvores binárias de busca, árvores binárias de busca balanceadas, árvores AVL, operações básicas e análise dos algoritmos. Considerações sobre heaps aplicados em filas de prioridades. Aplicações de listas não lineares em problemas computacionais relevantes e análise dos algoritmos."
Matemática Discreta I,SMA0180,Disciplinas Obrigatórias,2º Semestre Ideal,SCC0283; SCC0283,"Dar aos alunos os conhecimentos básicos de Contagem e Combinatória, Relações, Teoria dos Números no contexto de Criptografia, Inferência e Prova, e Indução Matemática, habilitando-os a resolverem problemas da área de Ciências de Computação.","Contagem e combinatória: princípios de adição, princípios do produto, listas, fatorial, arranjo, permutações, combinações, com e sem repetição de elementos, subconjuntos e triângulo de Pascal;
Relações: conceito, funções como relações, propriedades, equivalências, ordens parcial e total: e o problema da Arrumação da Estante; 
Teoria dos Números e Criptografia: chave secreta, sistemas de chave pública, criptografia usando aritmética de módulo n, máximo divisor comum,  Teorema da Divisão de Euclides, algoritmo de Euclides, exponencial módulo n, e criptosistema RSA;
Inferência e prova: regras de inferência, prova direta, prova por indução, prova por contradição, prova por construção e prova por absurdo; 
Indução Matemática: princípios, indução forte, visão recursiva, indução estrutural, recorrências e o Teorema Mestre."
Cálculo II,SMA0354,Disciplinas Obrigatórias,2º Semestre Ideal,SMA0355; SME0123; SMA0390,"Familiarizar os alunos com os resultados fundamentais relativos a: integração definida, técnicas de integração, diferenciabilidade de funções de várias variáveis e extremos de funções de várias variáveis.",A integral definida. Técnicas de integração. Aplicações da integral. Integrais impróprias. Curvas. Funções de várias variáveis. Limites. Derivadas parciais.  A regra da cadeia e aplicações. Gradiente e derivada direcional. Plano tangente e reta normal. Polinômio de Taylor. Máximos e mínimos para funções de várias variáveis. Multiplicadores de Lagrange.
Prática em Sistemas Digitais,SSC0108,Disciplinas Obrigatórias,2º Semestre Ideal,,"Estender o conhecimento do aluno com práticas em técnicas digitais, com ênfase no projeto de circuitos sequenciais.","Prática em circuitos sequenciais, flip-flops, registradores, conversores série/paralelo e paralelo/série, contadores síncronos e assíncronos, memória. Máquinas de estado finito-FSM. Técnicas de otimização de máquinas de estado finito. Projeto de circuitos lógicos sequenciais para a execução de instruções binárias.

Atividades de extensão: Produção de material como recurso educacional utilizando circuitos digitais para ensino/resolução de problemas da sociedade com circuitos digitais. A carga horária corresponde a 15 horas."
Sistemas Digitais,SSC0118,Disciplinas Obrigatórias,2º Semestre Ideal,SSC0902,"Estender o conhecimento do aluno em técnicas digitais, com ênfase no projeto de circuitos sequenciais.","Circuitos seqüenciais, flip-flops, registradores, conversores série/pararelo e paralelo/série, contadores síncronos e assíncronos, memória. Máquinas de estado finito-FSM. Técnicas de otimização de máquinas de estado finito. Projeto de circuitos lógicos seqüenciais para a execução de instruções binárias."
Laboratório de Física Geral I,7600109,Disciplinas Obrigatórias,3º Semestre Ideal,,"Familiarizar o aluno com a utilização de instrumentos de medidas mecânicas, organização de tabelas e gráficos com escala lineares e logarítmicas obtidos em Física I. Introduzir os fundamentos básicos da teoria de Erros e do Método dos Mínimos Quadrados. Utilizar os tópicos anteriores para a realização de práticas e confecção de relatórios sobre experimentos básicos de mecânica.","1.Instrumentos de medidas
1.1 Utilização de paquímetro, micrômetro e balança nas medidas de comprimento (diâmetro, espessura, profundidade, etc) e massa.
1.2 Estimativa de erro nas medidas
1.3 Propagação de erros
1.4 Algarismos significativos
2.Construção de Tabelas e Gráficos
2.1 Construção de Tabelas
2.2 Construção de gráficos
2.3 Escalas especiais para a construção de gráficos
2.4 Determinação dos coeficientes angular e linear de uma reta obtida a partir de dados experimentais
2.5 Lei de Hooke
3. Introdução ao método dos mínimos quadrados
3.1 Ajuste de curvas a dados experimentais através do método dos mínimos quadrados
3.2 Cinemática
3.3 Movimento Retilíneo Uniforme
3.4 Movimento Retilíneo uniformemente variado
4. Estática
4.1 Equilíbrio de um ponto Material
4.2 Tensão Máxima suportada por um fio
4.3 Atrito
5. Conservação de Energia
5.1 Conceito de Conservação da Energia Mecânica
5.2 Sistema Massa mola
6. Choques Unidimensionais
6.1 Utilização de um trilho de ar
6.2 Conservação da quantidade de movimento
6.3 Conservação da Energia Cinética
6.4 Coeficiente de restituição
6.5 Classificação dos choques."
Organização de Arquivos,SCC0215,Disciplinas Obrigatórias,3º Semestre Ideal,SCC0240,"Fornecer ao aluno noções de armazenamento em arquivos, técnicas de indexação, estrutura de dados e mecanismos eficientes para recuperação de dados em memória secundária.","Fundamentos de arquivos e armazenamento secundário. Organização de arquivos. Campos e registros de tamanho fixo e variável. Indexação de arquivos. Estruturas de dados e algoritmos para indexação primária, secundária e com múltiplas chaves. Manutenção de arquivos indexados dinâmicos. Processamento cosequencial. Ordenação de arquivos grandes. Árvores B e suas variações. Hashing externo."
Modelagem Computacional em Grafos,SCC0216,Disciplinas Obrigatórias,3º Semestre Ideal,SCC0218; SME0130; SME0130; SCC0271; SCC0271,"Ensinar ao aluno a importância de grafos em computação, mostrando seus conceitos fundamentais, principais estruturas de dados e aplicações resolvidas por meio de grafos.","Grafos - conceitos fundamentais, grafos dirigidos e não dirigidos, grafos ponderados, caminhos Eulerianos e Hamiltonianos, ciclos, operações básicas sobre grafos, busca em largura e em profundidade, isomorfismo. Representação de grafos via matriz de adjacência e listas de adjacências, operações e análise de algoritmos. Caminhos mínimos, detecção de ciclos, componentes conexos e fortemente conexos, pontes e vértices de articulação, ordenação topológica. Árvores geradoras mínimas, caminhos mínimos, fluxo em rede. Noções de redes complexas e aplicações."
Cálculo III,SMA0355,Disciplinas Obrigatórias,3º Semestre Ideal,SMA0393,"Familiarizar os alunos com os resultados fundamentais relativos a:  diferenciabilidade de  funções de várias variáveis, integrais múltiplas, integrais de linha, integrais de superfície.",Integrais duplas. Transformação de coordenadas. Integrais triplas.  Cálculo vetorial. Integrais de linha. Teorema de Green.  Integrais de superfícies. O Teorema de Gauss. O Teorema de Stokes.
Programação Orientada a Objetos,SSC0103,Disciplinas Obrigatórias,3º Semestre Ideal,SSC0124; SCC0250; SSC0770; SCC0260; SCC0225; SCC0252,Introduzir os conceitos de programação orientada a objetos e metodologia de desenvolvimento de software segundo esse paradigma.,"Projeto orientado a objetos. Encapsulamento e ocultação de informação. Separação de comportamento e implementação. Classes e subclasses. Herança. Overriding. Dynamic dispatch.
Polimorfismo. Relação entre Polimorfismo (de subtipo) e Herança. Hierarquias de classes.
Objetivos de aprendizado: 
1. Justificar a filosofia do projeto orientado a objetos e os conceitos de encapsulamento, abstração, herança e polimorfismo. 
2. Projetar, implementar, testar e depurar programas simples em uma linguagem de programação orientada a objetos. 
3. Descrever como o mecanismo de classes suporta encapsulamento e ocultação de informação. 
4. Projetar, implementar e testar a implementação de relações “é-um” (is-a) entre objetos usando uma hierarquia de classes e herança. 
5. Comparar e contrastar as noções de métodos de overloading e overriding em uma linguagem orientada a objetos."
Organização e Arquitetura de Computadores,SSC0902,Disciplinas Obrigatórias,3º Semestre Ideal,SSC0140; SSC0140; SSC0140; SSC0740; SSC0643,"Abordar conhecimentos atuais sobre a organização e arquitetura de computadores digitais. Estudar aspectos funcionais, estruturais e de desempenho de processadores, memórias, e do subsistema de entrada/saída e suas redes de interconexão. Compreender técnicas de otimização e de paralelização do processador, abaixo do nível de arquitetura do conjunto de instruções. Aprender a codificação de programas em linguagem de montagem.","Noções de Linguagens Montadoras (assembly): aspectos importantes em projetos de linguagens de máquina e de montagem; codificação de programas em assembly; 
Organização de processadores, elementos básicos e seus conceitos fundamentais;
Implementação do Ciclo de Instrução: aspectos estruturais, funcionais e de desempenho do nível de microarquitetura; arquitetura RISC;
Unidade de controle hardwired e microprogramada: fundamentos e desenvolvimento.
Paralelismo no nível de microarquitetura: pipeline, arquiteturas superescalares e multithreading;
Subsistemas de memória envolvendo cache e memória principal: aspectos estruturais, funcionais e de desempenho. 
Entrada e Saída (E/S): organização, técnicas e evolução do hardware para a E/S
Sistemas de interconexão atuais: conceitos gerais, estudos de casos. Barramento.

Atividades de extensão: Desenvolvimento de recursos educacionais abertos para ensino. A carga horária corresponde a 15 horas."
Programação Funcional,SSC0960,Disciplinas Obrigatórias,3º Semestre Ideal,,"Introduzir os conceitos básicos de programação funcional aos alunos de graduação. Desenvolver as habilidades necessárias para que o futuro desenvolvedor de tais programas possa criar soluções adequadas, com alto desempenho e qualidade.","Histórico, conceitos básicos e situação atual do paradigma funcional: introdução ao paradigma funcional, compreendendo funções e expressões lambda, funções de ordem superior, e demais conceitos funcionais aplicados em linguagens funcionais modernas.
Desenvolvimento de  programas em linguagens funcionais modernas.
Exemplos de programas em linguagens que incorporam aspectos funcionais.
Tópicos avançados em linguagens funcionais: aplicação de linguagens funcionais na solução de problemas."
Algoritmos Avançados e Aplicações,SCC0218,Disciplinas Obrigatórias,4º Semestre Ideal,,Permitir o contato do aluno com problemas clássicos e novos de computação que envolvam a análise de soluções variadas e os mais diversos paradigmas de programação.,"Apresentação dos paradigmas de força-bruta, dividir e conquistar, transformar e conquistar, reduzir e conquistar, programação dinâmica e  backtracking.  Solução de problemas com árvores e grafos, e manipulação de strings.
Atividades de extensão: Confecção de material para publicação na web.
Carga horária: 5 horas."
Estatística,SME0123,Disciplinas Obrigatórias,4º Semestre Ideal,SME0121; SME0806; SME0808; SME0822; SME0823,"Ensinamento de idéias básicas da Estatística, seus alcances e limitações. Estabelecer uma linguagem comum entre o Engenheiro e o Estatístico. Exemplificar através das técnicas mais comuns de Estatística.",Análise Exploratória de Dados (Estatística Descritiva). O espaço probabilístico. Modelos probabilísticos. Dependência e independência de eventos. Eventos condicionados. Variáveis aleatórias unidimensionais e n-dimensionais. Distribuições de probabilidade. Funções de variáveis aleatórias. Esperança matemática. Momentos. Covariância e correlação. Teorema do limite central. Estimação de parâmetros. Testes de hipóteses. Testes de aderência. Regressão linear.
Álgebra Linear e Aplicações,SME0142,Disciplinas Obrigatórias,4º Semestre Ideal,SME0104; SME0104,"O curso tem como objetivo introduzir conceitos de álgebra linear e suas aplicações, visando principalmente oferecer os fundamentos necessárias para as demais disciplinas do curso.","Conceitos Básicos de Geometria Analítica: Coordenadas cartesianas, Vetores, Produto escalar, Produto vetorial. Retas e planos. Cônicas. Equações reduzidas das superfícies quádricas. (Conteúdo ministrado em, no máximo, 4 aulas).
Fundamentos de Álgebra Linear: Espaços vetoriais, dependência linear, base e dimensão, subespaços, soma direta. Transformações lineares, núcleo e imagem, matriz de uma transformação linear. Posto de uma transformação linear. Ortogonalidade e operadores ortogonais, projeções em subespaços, mínimos quadrados e regressão linear. Autovalores e autovetores, subespaços invariantes, teorema espectral, formas quadráticas e coeficiente de Rayleigh. Decomposição em valores singulares (SVD) e aproximação de posto reduzido. Aplicações: Análise de componentes principais (PCA) e redução de dimensionalidade."
Análise e Projeto Orientados a Objetos,SSC0124,Disciplinas Obrigatórias,4º Semestre Ideal,SSC0130; SSC0725,"Permitir ao aluno realizar a análise e projeto orientados a objetos de sistemas de software, seguindo o processo unificado.","Visão geral dos métodos para análise e projeto orientados a objetos, em particular o Processo Unificado. Como modelar com objetos usando a notação UML: o modelo conceitual; o modelo comportamental: diagrama de sequência, operações, contratos; o modelo de interação: casos de usos, colaboração entre objetos e diagramas de comunicação. Do projeto para a codificação. Padrões para atribuição de responsabilidades. Ferramentas de apoio.

Atividades de extensão: Modelagem de sistemas de interesse da sociedade como forma de exercitar as técnicas vistas em sala de aula, oferecendo soluções que ficam documentadas e disponíveis para futuro desenvolvimento de software de apoio. A carga horária corresponde a 15 horas."
Sistemas Operacionais I,SSC0140,Disciplinas Obrigatórias,4º Semestre Ideal,SSC0142; SSC0903; SSC0903; SSC0141; SSC0154; SSC0160; SSC0160; SSC0950; SSC0745,Introduzir o estudante nos conceitos e princípios básicos dos sistemas operacionais de computadores digitais.,"Histórico e evolução, tipos de sistemas operacionais, serviços do sistema operacional, estrutura de um sistema operacional, processos, comunicação entre processos, problemas clássicos, escalonamento. Princípios de entrada\saída, aspectos de hardware, aspectos de software, deadlocks.  Gerenciamento de memória, princípios básicos, paginação, multiprogramação, memória virtual, algoritmos para troca de páginas, cache, algoritmos para manipulação de cache. Sistema de arquivos, visão do usuário, diretrizes para projeto, aspectos de confiabilidade, segurança e desempenho: servidores de arquivos.

Atividades de extensão: Disponibilização de material didático em diversos formatos (REAs, Vídeos, Tutoriais, Jogos). A carga didática corresponde a 30 horas."
Introdução ao Desenvolvimento Web,SCC0219,Disciplinas Obrigatórias,5º Semestre Ideal,,Introduzir conhecimentos sobre desenvolvimento de aplicações Web envolvendo programação e manipulação de Bancos de Dados.,"Histórico sobre desenvolvimento de aplicações para Web, terminologia e problemas. Infra-estrutura utilizada no desenvolvimento de aplicações Web: requisições HTTP, comunicação, linguagens de marcação (HTML, CSS, etc), processamento no lado do cliente (Javascript, DOM, etc.), processamento no lado do servidor (frameworks e linguagens para Web ), manipulação de Banco de Dados (SQL e NoSQL). Desenvolvimento de exemplos a fim de facilitar a compreensão de conceitos básicos.
Atividades de extensão: 
A disciplina propõe a criação de um projeto prático de implementação de uma solução Web. Essa solução pode ser pensada para atender segmentos da sociedade. 
Ainda nessa disciplina os alunos podem produzir material online de divulgação para outros programadores e podem disponibilizar seus projetos em repositórios abertos para que outros programadores possam contribuir ou apenas analisar o projeto.
Carga horária: 10 horas."
Bases de Dados,SCC0240,Disciplinas Obrigatórias,5º Semestre Ideal,SCC0247; SCC0243; SCC0245,"Objetivos: Fornecer conceitos, técnicas e características básicas dos Sistemas Gerenciadores de Bases de Dados, tornando o aluno capaz de desenvolver sistemas de informação centrados na busca de informações armazenadas em bases de dados.","Introdução a bases de dados e Sistemas Gerenciadores de Bases de Dados: conceitos fundamentais, bases de dados relacionais e não-relacionais, arquitetura de sistemas de bases de dados. Modelagem de dados utilizando o Modelo Entidade-Relacionamento. Modelo Relacional: conceitos, álgebra relacional e normalização. Introdução a SQL: comandos de definição de dados e de manipulação de dados. Introdução ao processamento de transações: conceitos e teoria. Aspectos de implementação dos sistemas gerenciadores de bases de dados."
Cálculo Numérico,SME0104,Disciplinas Obrigatórias,5º Semestre Ideal,SME0110,"Familiarização do aluno com as técnicas computacionais da Álgebra Linear, da Álgebra e da Análise Matemática, através do estudo de métodos numéricos, com uso intensivo de computadores digitais.","Representação de números no computador. Erros em métodos numéricos. Soluções de equações: métodos iterativos de Newton, Secantes. Soluções de equações e sistemas de equações não-lineares: método iterativo linear, método de Newton. Soluções de equações lineares: métodos exatos - LU, eliminação de Gauss – e iterativos - Gauss-Seidel, Jacobi-Richardson. Determinação numérica de auto-valores e auto-vetores: métodos das potências e Jacobi. Análise de Componentes Principais, Decomposição em Valores Singulares e aplicações. Aproximação de funções: método dos mínimos quadrados. Interpolação Polinomial de Lagrange e Bezier e B-splines e Interplação por Base Radial."
Processos Estocásticos,SME0121,Disciplinas Obrigatórias,5º Semestre Ideal,,"Fornecer ao aluno base teórica em Processos Estocásticos para que possa apreciar suas aplicações, principalmente voltadas às áreas de Redes de Computadores, análise de Sistemas, etc, com consistência e incluindo métodos de Simulação Estocásticas.","Introdução. Processos Estocásticos homogêneos. Processos de Poisson. Cadeias de Markov a parâmetro discreto e a parâmetro contínuo: definições, propriedades, distribuições de equilíbrio. Exemplos e aplicações. Processos de Nascimento e Morte a parâmetro discreto e contínuo e aplicações. Introdução à Teoria de Filas. Filas Gerais M/M/c/K, c 1, K. Introdução à Simulação Estocástica voltada para a simulação de sistemas de filas."
Engenharia de Software,SSC0130,Disciplinas Obrigatórias,5º Semestre Ideal,SSC0959; SCC0280; SSC0123; SSC0720; SSC0726,Oferecer uma visão geral do processo de desenvolvimento de software e dos métodos e técnicas que podem ser utilizadas em cada fase do ciclo de vida do software.,"Introdução e objetivos da Engenharia de Software. Processo de Desenvolvimento de Software. Modelos de Processo: do linear aos interativos e ágeis. Métodos e Técnicas de Análise e Especificação de Requisitos: características, problemas, conceitos básicos.  Visão Geral das Fases de Análise e Projeto de Software. Gerenciamento de Projetos de Software: planejamento, métricas e estimativas. Gerenciamento de Configuração de Software. Qualidade de Software: qualidade de produto e de processo. Métodos e Técnicas para Verificação e Validação de Software: inspeção e teste. Manutenção de Software.

Atividades de extensão: Aplicação de técnicas de engenharia de software vistas em sala de aula a problemas relatados na indústria, oferecendo soluções que ficam documentadas e disponíveis para uso pelas empresas ou por outros alunos como forma de aprendizagem baseada em problemas. A carga horária corresponde a 15 horas."
Redes de Computadores,SSC0142,Disciplinas Obrigatórias,5º Semestre Ideal,SSC0900; SSC0904; SSC0904; SSC0954; SSC0158; SSC0158; SSC0158; SSC0152; SSC0748,"Apresentar os conceitos básicos em comunicação, redes de computadores e a internet.","1 - Introdução: Estrutura das redes, núcleo e acesso; perdas e atrasos em pacotes; camadas de protocolos; modelos de serviços. 2  Camada de aplicação: modelos cliente-servidor e P2P; protocolos de aplicação: http, ftp, smtp, etc; implementação de protocolos; 3  Camada de transporte: multiplexação, controle de fluxo, controle de congestionamento; TCP; UDP; 4  Camada de rede: redes baseadas em circuitos virtuais e em datagramas; IPv4; IPv6; ICMP; roteamento; 5  Camada de Link de Dados: deteção e correção de erros; compartilhamento de canais; endereçamento; controle de fluxo.

Atividades de extensão: Disponibilização de material didático em diversos formatos (REAs, Vídeos, Tutoriais, Jogos). A carga horária corresponde a 30 horas."
